,Column1.period,Column1.productId,Column1.productName,Column1.activityId,Column1.activityName,Column1.countryRegionId,Column1.countryRegionName,Column1.countryRegionTypeId,Column1.countryRegionTypeName,Column1.unit,Column1.unitName,Column1.dataFlagId,Column1.dataFlagDescription,Column1.value
131,2011-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75175.76566097398
132,2011-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74647.10566097398
133,2011-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75310.72266097397
134,2011-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74884.40966097396
135,2011-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74462.10366097397
136,2011-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,73665.43066097397
137,2011-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74294.24266097398
138,2011-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74445.12166097398
139,2011-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75488.70266097397
140,2011-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75924.98366097397
141,2010-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75146.0299469612
142,2010-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75057.20594696118
143,2010-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74727.80594696119
144,2010-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74392.56194696118
145,2010-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74078.49194696119
146,2010-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74201.81294696119
147,2010-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,73949.59494696118
148,2010-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74314.99894696119
